-7.593850300552112147e+30;9.002123020348507139e+26
-7.607288649775469569e+30;8.997945594122355164e+26
-7.620730278476284891e+30;8.993761387682765189e+26
-7.634175175092058088e+30;8.989570401767178289e+26
-7.620730927438665889e+30;8.993762025921336143e+26
-7.612665167909139471e+30;8.996272980425200495e+26
-7.627452643504934053e+30;8.991667061245331678e+26
-7.638209507465871892e+30;8.988312007286308629e+26
-7.614009541766529683e+30;8.995854816999262031e+26
-7.612665167909139471e+30;8.996272980425200495e+26
-7.614009703864036002e+30;8.995854976596036995e+26
-7.611321021326504558e+30;8.996691267565764269e+26
